TENANT_ID,OWNER_EMAIL,CAMPAIGNS,SESSIONS_90D,BIGGEST_CAMPAIGN
demand_ai,,1,11312,demand_ai_internal_website_track
1,,4,10414,ibm-ai
1762492790,,64,8203,Design Team-DemandAI Insyte
45363964055,,1,7963,SG0326-009 GPJ Singapore FY26Q1 IBM APAC PRIMAS Webinar and Microsite Campaign
3,,3,7770,avalara-apac-xb-ai
125,,1,7757,snowflake-apac-ai
38394600714,,6,7667,AU0426-007 Splendid-Pleo FY26Q1 Phase Campaigns ENG
21,,3,6123,commvault-active-directory-ai
41120323419,,2,5749,SG0326-002 Vodafone 3i Compaign Hub
47,,6,3411,paloalto-webinar-us
129,,1,3220,jfrog-webinar-registration-landing-page
38487364624,,17,3069,Just Global FY26Q1 Databricks Global_Always On Single Touch SKOR EXEC - Amplifye-campaign
53948628374,,3,2635,US0426-066 Transmission FY26Q2 Korn Ferry SIngle Touch Insyte campaign
39616941236,,7,2524,SG0426-005 Just Global-Red Hat FY26H1 Veeam KR Campaign
21687372638,,2,2524,US0526-075 Google Cloud Healthcare LS Q2 NAMER Single Touch Insyte Campaign
53528659783,,11,2329,UK0426-092 Just Global FY26Q2 BizPros Adobe One-Touch CML- english Campaigns
74,,1,2077,seco-webinar
41,,5,2050,lenovo-Intel-ai
2,,7,1746,dell-intelvpro-in-ai
39147100320,,5,1691,PL0426-008 Comarch Loyalty Pilot Single Touch+4CQ Campaign
62,,4,1572,rubrik-ai-identity-crisis-webinar
20,,3,1564,service-now-demo
51219855145,,2,1546,NL0526-036 Zenergon FY26Q2 Lenovo Content Syndication campaign
08270a13-6629-4621-8ec2-d1a4220ba253,,3,1533, NL0526 NetApp FY26Q2 with custom questions
37746600302,,4,1514,SG0626-016 Outsystems Korea FY26Q2 Content Syndication and On-demand webinar-KR-campaign
